TICKER,DATE,CLOSE,OPEN,HIGH,LOW,VOLUME
VN30-IDX,20161228,621.43,614.16,621.88,614.16,38938100
VN30-IDX,20161227,614.65,614.38,616.97,609.21,38359140
VN30-IDX,20161226,615.06,615.06,615.65,608.84,52503620
VN30-IDX,20161225,617.41,620.42,626.79,617.41,44945390
VN30-IDX,20161224,619.8,620.86,622.4,616.53,35623690
VN30-IDX,20161223,623.16,631.09,631.13,620.85,65403000
VN30-IDX,20161222,635.41,642.04,642.04,633.42,38436420
VN30-IDX,20161221,639.17,644,645.39,639.11,45541430
VN30-IDX,20161220,644.33,639.58,644.33,636.61,53603695
VN30-IDX,20161219,639.63,634.67,640.41,634.42,54226929
VN30-IDX,20161218,634.68,633.57,636.03,627.97,36720740
VN30-IDX,20161217,633.21,636.37,638.17,631.18,37662900
VN30-IDX,20161216,634.34,642.19,642.35,626.4,79016203
VN30-IDX,20161215,643.16,647.51,650.12,642.22,40079800
VN30-IDX,20161214,645.15,654.45,654.49,645.15,50732450
VN30-IDX,20161213,654.17,664.82,665.11,647.33,56698900
VN30-IDX,20161212,662.29,653.82,662.41,652.51,55776030
VN30-IDX,20161211,653.63,653.75,656.73,649.54,59301579
VN30-IDX,20161210,651.14,657.05,664.43,651.14,68755830
VN30-IDX,20161209,656.89,645.04,657.66,645.04,74595200
VN30-IDX,20161208,641.58,637.69,641.58,633.5,54432900
VN30-IDX,20161207,636.02,643.77,648.37,633.89,53374610
VN30-IDX,20161206,643.56,645.21,648.73,639.67,49583380
VN30-IDX,20161205,644.52,639.9,645.01,638.63,45030610
VN30-IDX,20161204,636.18,632.8,638.29,630.21,48408199
VN30-IDX,20161203,636.27,636.57,641.86,634.43,54102700
VN30-IDX,20161202,633.57,629.19,634.23,629.19,53427369
VN30-IDX,20161201,626.34,623.77,630.61,623.5,52031960
VN30-IDX,20161130,621.79,623.98,626.9,621.52,36009680
VN30-IDX,20161129,621.39,616.09,622.43,616.09,47256170
VN30-IDX,20161128,614.31,612.52,616.51,612,31363410
VN30-IDX,20161127,614.42,609.64,614.42,601.71,40094921
VN30-IDX,20161126,612.69,625.8,625.8,591.44,112996790
VN30-IDX,20161125,626.5,623.71,627.61,623.09,39441330
VN30-IDX,20161124,624.18,626.53,628.26,623.76,31713670
VN30-IDX,20161123,626.97,627.16,631.02,626.97,46029110
VN30-IDX,20161122,624.19,615.98,624.79,615.98,42836553
VN30-IDX,20161121,615.75,621.15,622.15,615.39,80809230
VN30-IDX,20161120,622.54,625.02,627.46,622.54,47138500
VN30-IDX,20161119,624.19,624.66,625.8,621.06,43074700
VN30-IDX,20161118,625.36,620.01,625.36,617.71,30760290
VN30-IDX,20161117,621.75,626.68,626.92,620.36,46797747
VN30-IDX,20161116,629.27,630.55,634.07,628.4,53564350
VN30-IDX,20161115,630.66,630.34,631.73,627.29,39724640
VN30-IDX,20161114,630.09,624.83,632.6,624.83,47259560
VN30-IDX,20161113,624.01,620.96,624.01,619.59,40385150
VN30-IDX,20161112,618.88,620.61,622.23,615.91,51579020
VN30-IDX,20161111,621.05,622.07,622.65,619.15,43700532
VN30-IDX,20161110,621.18,619.14,622.88,618.1,45318024
VN30-IDX,20161109,619.38,617.69,620.19,617.02,40972759
VN30-IDX,20161108,617.52,618.91,621.3,616.85,42808680
VN30-IDX,20161107,616.73,612.4,617.43,611.83,41346280
VN30-IDX,20161106,611,607.21,612.66,605.16,38558276
VN30-IDX,20161105,607.16,613.05,615.94,607.16,45987420
VN30-IDX,20161104,612.74,614.91,618.61,612.74,51533058
VN30-IDX,20161103,614.62,616.33,616.45,611.94,49835230
VN30-IDX,20161102,614.45,616.81,617.39,612.43,42706560
VN30-IDX,20161101,616.4,621.34,623.19,615.91,55534510
VN30-IDX,20161031,621.13,624.73,625.99,620.11,62641840
VN30-IDX,20161030,623.92,625.18,628.3,622.71,59495005
VN30-IDX,20161029,622.93,619.24,625.12,617.11,51613683
VN30-IDX,20161028,615.17,612.03,615.89,608.96,39023820
VN30-IDX,20161027,609.97,612.64,615.33,608.67,40834500
VN30-IDX,20161026,612.04,613.32,615.57,611.39,32931690
VN30-IDX,20161025,611.96,606.32,611.96,604.25,49787308
VN30-IDX,20161024,604.56,601.23,605.37,597.91,46159652
VN30-IDX,20161023,604.24,610.78,612.82,604.24,45611603
VN30-IDX,20161022,607.55,604.96,610.19,604.7,42153450
VN30-IDX,20161021,604.69,603.68,609.59,603.32,49503907
VN30-IDX,20161020,602.57,600.63,606.88,597.4,56196770
VN30-IDX,20161019,601.25,595.5,603.04,595.19,46455444
VN30-IDX,20161018,595.63,597.87,600.36,593.46,35960850
VN30-IDX,20161017,597.43,603.93,603.93,593.93,58323650
VN30-IDX,20161016,601.27,593.35,601.27,593.35,72214832
VN30-IDX,20161015,594.16,599.85,604.12,594.16,51867586
VN30-IDX,20161014,595.38,582.43,595.48,581.72,48018250
VN30-IDX,20161013,582.76,578.09,584.37,577.19,35603240
VN30-IDX,20161012,575.35,575.42,578.65,572.14,42573255
VN30-IDX,20161011,575.06,584.14,584.42,575.06,42722454
VN30-IDX,20161010,584.47,586.27,591.76,584.47,36198250
VN30-IDX,20161009,586.21,582.4,591.64,582.4,41275203
VN30-IDX,20161008,584.63,587.94,589.03,582.4,44885692
VN30-IDX,20161007,587.47,588.73,590.22,584.75,68316330
VN30-IDX,20161006,586.78,580.79,588.42,580.65,52029130
VN30-IDX,20161005,578.97,578.43,581.39,576.68,41831740
VN30-IDX,20161004,579.28,577.88,580.37,575.09,40441224
VN30-IDX,20161003,576.4,571.47,576.4,569.4,42451203
VN30-IDX,20161002,570.43,565.59,570.43,565.37,48430815
