TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HNX-IDX,20170711,100.3701,100.4386,99.2235,100.4192,60069370
VN-IDX,20170710,775.85,775.85,764.43,766.56,206862760
HNX-IDX,20170710,101.5779,102.0508,99.984,100.3701,106129267
VN-IDX,20170707,783.73,783.81,775.73,775.73,236869460
HNX-IDX,20170707,102.6031,103.0711,101.5451,101.5779,94620225
VN-IDX,20170706,780.5,782.77,778.32,782.65,217173310
HNX-IDX,20170706,101.9243,102.6095,101.9304,102.6031,97994184
VN-IDX,20170705,775.85,778.32,773.81,778.32,202106760
HNX-IDX,20170705,100.4763,101.9278,100.341,101.9243,63043923
VN-IDX,20170704,779.15,779.15,772.9,775.54,209606010
HNX-IDX,20170704,100.3268,100.8505,100.019,100.4763,63330456
VN-IDX,20170703,777.2,780.01,775.53,778.88,183089860
HNX-IDX,20170703,99.1383,100.662,98.9479,100.3268,66563068
VN-IDX,20170630,773.46,776.5,771.75,776.47,174179020
HNX-IDX,20170630,98.7959,99.2815,98.7173,99.1383,41285684
VN-IDX,20170629,771.26,773.08,769.04,771.75,196621010
HNX-IDX,20170629,98.3498,99.1546,98.3435,98.7959,40353103
VN-IDX,20170628,766.82,769.04,762.78,769.04,183622000
HNX-IDX,20170628,98.0182,98.4848,97.4637,98.3498,37649282
VN-IDX,20170627,773.15,773.4,767.19,767.51,217429450
HNX-IDX,20170627,98.7258,98.8828,97.7594,98.0182,41254498
VN-IDX,20170626,770.5,773.14,769.01,772.52,212471680
HNX-IDX,20170626,98.2746,98.9151,98.1104,98.7258,52298687
VN-IDX,20170623,765.66,769.01,763.64,769.01,212981340
HNX-IDX,20170623,98.6059,98.8869,97.8487,98.2746,47073862
VN-IDX,20170622,768.41,769.99,766.3,766.3,195130690
HNX-IDX,20170622,98.6752,98.9747,98.3046,98.6059,52243091
VN-IDX,20170621,765.71,767.99,758.9,767.41,192987680
HNX-IDX,20170621,99.7968,99.9974,97.9989,98.6752,64520294
VN-IDX,20170620,767.59,768.29,764.42,767.99,173377770
HNX-IDX,20170620,99.4129,100.4929,98.8949,99.7968,63157505
VN-IDX,20170619,763.75,766.83,761.24,766.83,178786350
HNX-IDX,20170619,98.3133,99.4222,98.3168,99.4129,62540861
VN-IDX,20170616,761.75,762.43,759.98,761.24,197486960
HNX-IDX,20170616,97.7794,98.3778,97.4681,98.3133,55277590
VN-IDX,20170615,760.38,762.98,758.17,760.57,167143760
HNX-IDX,20170615,97.8872,98.1227,97.5736,97.7794,44050611
VN-IDX,20170614,758.26,761.7,756.82,760.77,171757200
HNX-IDX,20170614,97.3103,98.0578,97.0317,97.8872,50599224
VN-IDX,20170613,751.09,756.89,750.1,756.89,161438210
HNX-IDX,20170613,96.8349,97.5866,96.183,97.3103,65319359
VN-IDX,20170612,751.33,753.41,749,751.09,168718560
HNX-IDX,20170612,97.3632,97.6538,96.6802,96.8349,53748746
VN-IDX,20170609,749.46,752.01,749.04,749.72,170459930
HNX-IDX,20170609,97.2524,97.9937,96.9204,97.3632,57418881
VN-IDX,20170608,751.7,753.46,748.91,750.13,177202590
HNX-IDX,20170608,97.4654,97.9264,96.8364,97.2524,69985853
VN-IDX,20170607,752.75,754.92,751.31,753.46,192296070
HNX-IDX,20170607,95.744,98.0425,95.6484,97.4654,90556399
VN-IDX,20170606,743.99,751.31,743.49,751.31,170908710
HNX-IDX,20170606,94.9258,95.75,94.9489,95.744,71681350
VN-IDX,20170605,739.13,745.14,738.35,743.49,157935290
HNX-IDX,20170605,94.3639,95.2586,94.1718,94.9258,61800496
VN-IDX,20170602,741.48,742.11,736.09,738.81,158378400
HNX-IDX,20170602,93.9918,94.4944,93.6167,94.3639,64311766
VN-IDX,20170601,739.45,742.23,737.82,741.8,136759270
HNX-IDX,20170601,93.914,94.6851,93.8521,93.9918,46808338
VN-IDX,20170531,738.91,741.93,735.39,737.82,186921890
HNX-IDX,20170531,93.2404,94.4893,93.1072,93.914,68943951
VN-IDX,20170530,747.07,747.43,738.21,738.21,243928000
HNX-IDX,20170530,93.8069,94.4437,93.2069,93.2404,72152793
VN-IDX,20170529,746.08,748.06,743.41,746.25,238384880
HNX-IDX,20170529,93.6871,94.4292,93.4068,93.8069,53377450
VN-IDX,20170526,741.4,743.46,740.6,743.41,182559820
HNX-IDX,20170526,93.4684,93.7525,93.2292,93.6871,53043107
VN-IDX,20170525,744.24,746.48,740.89,741.91,192540470
HNX-IDX,20170525,92.965,94.0625,92.963,93.4684,67459020
VN-IDX,20170524,739.91,744.27,737.3,742.74,198986780
HNX-IDX,20170524,91.8973,93.3558,91.6965,92.965,70793321
VN-IDX,20170523,744.32,746.18,740.28,740.93,259817630
HNX-IDX,20170523,92.7126,93.1075,91.8476,91.8973,57909773
VN-IDX,20170522,738.63,746.87,733.82,744.1,239413310
HNX-IDX,20170522,92.1799,93.8074,92.1812,92.7126,89620931
VN-IDX,20170519,727.61,733.82,726.79,733.82,205972150
HNX-IDX,20170519,91.4642,92.3521,91.3284,92.1799,68476182
VN-IDX,20170518,727.2,729,723.8,726.99,207645900
HNX-IDX,20170518,91.9078,92.6074,91.4642,91.4642,67494543
VN-IDX,20170517,724.01,728.01,722.81,727.2,198242340
